O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,constituency,constituency_id,pk,District,Constituency Type,position,Gender
11,Devanur Karthick,Independent,227,0,227,0.13,Musiri,145,145-11,Tiruchirappalli,General,15,M
12,Shanmugam,Independent,361,2,363,0.2,Musiri,145,145-12,Tiruchirappalli,General,11,M
13,"A.Chandran. M.Sc.,",Independent,174,1,175,0.1,Musiri,145,145-13,Tiruchirappalli,General,16,M
14,N. Saminathan,Independent,313,4,317,0.18,Musiri,145,145-14,Tiruchirappalli,General,12,M
15,N. Sivakumar,Independent,513,0,513,0.29,Musiri,145,145-15,Tiruchirappalli,General,7,M
16,T. Senthil Kumar,Independent,497,0,497,0.28,Musiri,145,145-16,Tiruchirappalli,General,8,M
17,V. Natarajan,Independent,164,0,164,0.09,Musiri,145,145-17,Tiruchirappalli,General,17,M
18,T. Periyathambi,Independent,462,1,463,0.26,Musiri,145,145-18,Tiruchirappalli,General,9,M
19,R. Michael,Independent,297,0,297,0.17,Musiri,145,145-19,Tiruchirappalli,General,13,M
20,"P. Loganathan. M.sc.,",Independent,160,1,161,0.09,Musiri,145,145-20,Tiruchirappalli,General,18,M
21,NOTA,None of the Above,1081,11,1092,0.61,Musiri,145,145-21,Tiruchirappalli,General,6,Not Applicable
1,T.INDRAGANDHI,All India Anna Dravida Munnetra Kazhagam,65257,458,65715,37.36,Thuraiyur,146,146-1,Tiruchirappalli,SC,2,F
2,S.ESWARAMOORTHY,Bahujan Samaj Party,865,2,867,0.49,Thuraiyur,146,146-2,Tiruchirappalli,SC,7,M
3,S.STALINKUMAR,Dravida Munnetra Kazhagam,85802,1984,87786,49.91,Thuraiyur,146,146-3,Tiruchirappalli,SC,1,M
4,K.GUNASEKARAN,Puthiya Tamilagam,539,2,541,0.31,Thuraiyur,146,146-4,Tiruchirappalli,SC,8,M
5,K.SUBRAMANIAN,Amma Makkal Munnettra Kazagam,2404,31,2435,1.38,Thuraiyur,146,146-5,Tiruchirappalli,SC,5,M
6,R.TAMILZHSELVI,Naam Tamilar Katchi,13074,84,13158,7.48,Thuraiyur,146,146-6,Tiruchirappalli,SC,3,F
7,M.MALARMANNAN,Samaniya Makkal Nala Katchi,100,0,100,0.06,Thuraiyur,146,146-7,Tiruchirappalli,SC,14,M
8,T.N. YUVARAJAN,Makkal Needhi Maiam,2489,39,2528,1.44,Thuraiyur,146,146-8,Tiruchirappalli,SC,4,M
9,K.JAYAKKANNAN,Tamizhaga Murpokku Makkal Katchi,164,2,166,0.09,Thuraiyur,146,146-9,Tiruchirappalli,SC,12,M
10,S.KARUPPIAH,Independent,314,6,320,0.18,Thuraiyur,146,146-10,Tiruchirappalli,SC,9,M
11,A.SEERANGAN,Independent,119,0,119,0.07,Thuraiyur,146,146-11,Tiruchirappalli,SC,13,M
12,SRINIVASAN J,Independent,316,1,317,0.18,Thuraiyur,146,146-12,Tiruchirappalli,SC,10,M
13,K.SUNDARRAJ,Independent,230,0,230,0.13,Thuraiyur,146,146-13,Tiruchirappalli,SC,11,M
14,NOTA,None of the Above,1580,14,1594,0.91,Thuraiyur,146,146-14,Tiruchirappalli,SC,6,Not Applicable
1,"RAJENDRAN, K.",Bahujan Samaj Party,519,1,520,0.22,Perambalur,147,147-1,Perambalur,SC,8,M
2,"GUNASEKARAN, A.",Nationalist Congress Party,405,4,409,0.17,Perambalur,147,147-2,Perambalur,SC,9,M
3,"THAMIZHSELVAN, R.",All India Anna Dravida Munnetra Kazhagam,90325,731,91056,37.94,Perambalur,147,147-3,Perambalur,SC,2,M
4,"PRABHAHARAN, M.",Dravida Munnetra Kazhagam,119636,2454,122090,50.87,Perambalur,147,147-4,Perambalur,SC,1,M
5,"RAJENDRAN, K.",Desiya Murpokku Dravida Kazhagam,2918,14,2932,1.22,Perambalur,147,147-5,Perambalur,SC,4,M
6,"SASIKALA, M.",Indiya Jananayaka Katchi,1073,7,1080,0.45,Perambalur,147,147-6,Perambalur,SC,6,F
7,"MAHESHWARI, M.",Naam Tamilar Katchi,18592,81,18673,7.78,Perambalur,147,147-7,Perambalur,SC,3,F
8,"RADHIKA, T.",Puthiya Tamilagam,994,9,1003,0.42,Perambalur,147,147-8,Perambalur,SC,7,F
9,"SATHISH, S.",Independent,379,0,379,0.16,Perambalur,147,147-9,Perambalur,SC,10,M
10,NOTA,None of the Above,1867,17,1884,0.78,Perambalur,147,147-10,Perambalur,SC,5,Not Applicable
1,"RAMACHANDRAN, R.T.",All India Anna Dravida Munnetra Kazhagam,96734,859,97593,44.38,Kunnam,148,148-1,Perambalur,General,2,M
2,"SIVASANKAR, S.S.",Dravida Munnetra Kazhagam,102707,1215,103922,47.26,Kunnam,148,148-2,Perambalur,General,1,M
3,"PANDIYAN, S.",Bahujan Samaj Party,494,0,494,0.22,Kunnam,148,148-3,Perambalur,General,10,M
4,"ARUL, P.",Naam Tamilar Katchi,9319,35,9354,4.25,Kunnam,148,148-4,Perambalur,General,3,M
5,"RAVANAN, M.",New Generation People’s Party,183,4,187,0.09,Kunnam,148,148-5,Perambalur,General,15,M
6,"KAARTHIKEYAN, S.",Amma Makkal Munnettra Kazagam,2092,26,2118,0.96,Kunnam,148,148-6,Perambalur,General,4,M
7,"SATHIK BASHA, A.S.",Makkal Needhi Maiam,731,8,739,0.34,Kunnam,148,148-7,Perambalur,General,8,M
8,"ARUL, G.",Independent,119,4,123,0.06,Kunnam,148,148-8,Perambalur,General,18,M
